nomor fungsi fx,jumlah iterasi,tolerance,converge/tidak,elapsed time,norm grad
1,10,0.0001,1,0.008560895919799805,8.646935822382482e-05
2,100,0.0001,0,1.128639936447144,225846193340.8331
3,100,0.0001,0,4.487557172775269,0.466248767485858
4,27,0.0001,1,5.35296106338501,0.0001916350229592528
1,14,1e-06,1,0.01086211204528809,3.377708416476928e-07
2,100,1e-06,0,1.80095100402832,225846193340.8331
3,100,1e-06,0,6.223553895950317,0.4662487674858358
4,67,1e-06,1,15.58387899398804,2.648534829788336e-06
1,17,1e-08,1,0.01280498504638672,5.277668358782547e-09
2,100,1e-08,0,1.218215942382812,225846193340.8331
3,100,1e-08,0,4.817821025848389,0.466248767485858
4,100,1e-08,0,20.36285996437073,3.657662112815107e-07
1,20,1e-10,1,0.01442384719848633,8.246355182530636e-11
2,100,1e-10,0,1.136302947998047,225846193340.8331
3,100,1e-10,0,4.32780385017395,0.4662487674858502
4,100,1e-10,0,20.31621193885803,3.657662112786564e-07
1,24,1e-12,1,0.01800107955932617,3.221231645161123e-13
2,100,1e-12,0,1.257498979568481,225846193340.8331
3,100,1e-12,0,5.065727949142456,0.4662487674859363
4,100,1e-12,0,22.30790781974792,3.657662112615666e-07
